,lat_x,lng_x,distance
94,1.2768794,103.83088718992096,1.0856204617294167 km
95,1.2769187,103.84149595,0.40102319015310917 km
96,1.27704765,103.83934681006944,0.36178074106050184 km
97,1.2771857,103.832998,0.8546938614937661 km
98,1.2772003,103.8196084,1.2905924033796785 km
99,1.2772186,103.7914845,0.11213517029950883 km
100,1.2772615,103.8428559385813,0.3285762702048443 km
101,1.27729225,103.80692728729755,0.6701637032827888 km
102,1.2773029,103.80868754991737,0.7391281325817275 km
103,1.2773432,103.8456501,0.08685945404776581 km
104,1.277361,103.84933771170438,0.4116543568903019 km
105,1.2773663,103.7915202,0.1288627787159135 km
106,1.2773807,103.8318569,0.9653608724987397 km
107,1.2773807,103.85366394471836,0.15797168384227292 km
108,1.2775029,103.8380959,0.3729606358815017 km
109,1.277634,103.7883346,0.37056003366430723 km
110,1.27773095,103.8197612,1.234776993262303 km
111,1.2777451,103.82164643413644,1.1080444871258845 km
112,1.2777746,103.7928794,0.24239602331848903 km
113,1.2777916500000002,103.84140360852476,0.30985169088648856 km
114,1.2778303,103.840952800471,0.2848425929616743 km
115,1.277854,103.8086075,0.8007052285947733 km
116,1.2778847999999998,103.82255315,1.0435980920125612 km
117,1.2779719,103.8307214,0.9991550464185847 km
118,1.2780711500000002,103.84245669904516,0.35946000062777456 km
119,1.27816925,103.8204779,1.1463741687930644 km
120,1.2781886,103.7904108,0.24213373588067222 km
121,1.2783014499999998,103.82752982716076,0.8747789577485824 km
122,1.27835295,103.78832700544456,0.4113100405280712 km
123,1.2786333,103.8415088,0.24063682275563736 km
124,1.2786526500000002,103.82696460606702,0.8339562753571887 km
125,1.27866735,103.81924021016684,1.199317641076431 km
126,1.2788952,103.84147365808892,0.21723760001590306 km
127,1.27913545,103.82568635907302,0.7941134870956951 km
128,1.27936165,103.81793417556555,1.1436581562017651 km
129,1.2793797,103.85060676673228,0.24874245880687038 km
130,1.2794213,103.8277394,0.753474152987149 km
131,1.27944335,103.84735334399925,0.32415130819871585 km
132,1.2794848,103.78579965871148,0.5045575468689628 km
133,1.2795192000000002,103.7848719230636,0.41904447565529424 km
134,1.2796671000000002,103.78599121207544,0.5123483972719245 km
135,1.2796872,103.788455,0.5013610239931953 km
136,1.2796949,103.85520734773723,0.26480405446941435 km
137,1.27987035,103.82493452484192,0.7360756886822956 km
138,1.27988075,103.84018289044032,0.042466050095160815 km
139,1.2800677,103.7892211,0.48762410422142183 km
140,1.2802284,103.8257382,0.674465087300784 km
141,1.2802667,103.85227306856048,0.11054546816280664 km
142,1.28028085,103.79329331424064,0.4990286903108199 km
143,1.2803453,103.82872692812332,0.6747679343549796 km
144,1.28041685,103.81253013894946,1.117056677030628 km
145,1.2805171,103.81216811795818,1.1173802050714485 km
146,1.28078165,103.78560219982568,0.42259735355049827 km
147,1.2808779,103.78399691227295,0.25332064118826764 km
148,1.2809001,103.82836302704592,0.6047993311252983 km
149,1.28091565,103.84981282617017,0.18178468772836331 km
150,1.2809705999999998,103.84689714882104,0.22967919787669783 km
151,1.28099045,103.85274051881804,0.17109967099028373 km
152,1.2810069,103.79025729826698,0.5438067112799018 km
153,1.2810166,103.80929125585544,1.1412412031204686 km
154,1.28105555,103.8116215325,1.106569290305258 km
155,1.2810986999999998,103.82995250055936,0.6523445416385455 km
156,1.281169,103.8288852,0.5940319071344425 km
157,1.28126855,103.78474213344371,0.31571435022181155 km
158,1.28136095,103.80732500411466,1.085344407985669 km
159,1.2814045,103.7869768,0.5584527982667999 km
160,1.2814589,103.80917388576351,1.1907451510611529 km
161,1.2814692,103.78759693858603,0.6264441713541465 km
162,1.28151845,103.7833754769006,0.16174127605461386 km
163,1.2815191499999998,103.82770650420709,0.5229476058563174 km
164,1.28153045,103.82559108890976,0.5390103644492319 km
165,1.28163205,103.84231222587113,0.2948052214764922 km
166,1.2816412499999998,103.80773600869948,1.1324575041150295 km
167,1.28177045,103.84289443441727,0.35867118787760577 km
168,1.2818031,103.84672450852398,0.21616389475540526 km
169,1.2818998,103.82594841199878,0.48907451086229553 km
170,1.28193375,103.7841419034882,0.23961529234625054 km
171,1.28197515,103.82793684720062,0.47809640086785565 km
172,1.2819979,103.82965489967468,0.5501917644287212 km
173,1.28221375,103.80326062094298,1.0887871378412497 km
174,1.2822391,103.82511443574904,0.48506151597051816 km
175,1.2822509,103.8256946,0.4595982381101531 km
176,1.2823189,103.82929280211113,0.498827814844397 km
177,1.2826175,103.8174539,0.7799535755410582 km
178,1.2827175,103.8304086,0.5402018358034203 km
179,1.28274565,103.82367844369632,0.5310382168350681 km
180,1.2828631499999998,103.82954689078773,0.46487379596158723 km
181,1.2828762,103.83123595244912,0.5974873380973764 km
182,1.28297115,103.78369562563311,0.2205746796921991 km
183,1.28301625,103.83988698554164,0.3073636838299941 km
184,1.2830264,103.7851434852618,0.3704530376718747 km
185,1.28306385,103.82560967167316,0.37913844910001404 km
186,1.2830642,103.8300118,0.48191702643553447 km
187,1.28349635,103.82604575339413,0.31665400844476893 km
188,1.2835592999999998,103.82081495560166,0.7473730174661273 km
189,1.2836169000000002,103.82526766016466,0.3440414133345236 km
190,1.2836888000000002,103.82413307196704,0.4224908385181614 km
191,1.28369775,103.84333321095365,0.20973479478563117 km
192,1.28370355,103.83368841393828,0.7938039630584918 km
193,1.2837717,103.8302996,0.4546550664826937 km
194,1.2839374,103.8354884,0.6519018118760584 km
195,1.28413865,103.84255695900956,0.2880482164075845 km
196,1.2842353000000002,103.8514848001715,0.03348523909813679 km
197,1.2845581,103.8319423,0.5791497512756005 km
198,1.2846009,103.84530280596128,0.04528530889925897 km
199,1.2847031,103.82980137489204,0.35280665603514044 km
200,1.2847974,103.83214891009528,0.5936055359359584 km
201,1.28483305,103.82649489269834,0.16066219431687073 km
202,1.28490785,103.84566226335296,0.09512414131429266 km
203,1.2852438,103.84569983963,0.12863612754544207 km
204,1.28541625,103.8312761722304,0.4837377632326345 km
205,1.2854742,103.83171792228572,0.5311897807660915 km
206,1.28553725,103.81714306069205,0.4552611255769127 km
207,1.2855981,103.8256617,0.1627839114775952 km
208,1.2856895,103.8304889,0.3923981662918522 km
209,1.285734,103.828568,0.18189832285746171 km
210,1.2858773,103.8166034,0.41573757192642546 km
211,1.2859684,103.8301033,0.3463933662984239 km
212,1.2859801,103.8230173,0.443757385008282 km
213,1.28617715,103.83955002171584,0.6587041588704169 km
214,1.28625795,103.84220666778684,0.39678088441386805 km
215,1.2864913,103.8169649,0.3484549214909612 km
216,1.2865570000000002,103.81928147030447,0.44242768166441293 km
217,1.2866077,103.8213624397755,0.6136401066362664 km
218,1.28680895,103.81192415923778,0.620475167890902 km
219,1.2869466,103.8102072,0.7855512461961511 km
220,1.28694725,103.8390795,0.739038797081601 km
221,1.28715825,103.79213778715592,1.0980808540674054 km
222,1.2871703,103.8394515,0.712370544867769 km
223,1.2873011,103.8288312,0.2378061318713501 km
224,1.2874124,103.8471138,0.11077848647110798 km
225,1.28741255,103.8284284,0.2084383177097537 km
226,1.2874552,103.8104805,0.7372342118274501 km
227,1.28761375,103.80808608440285,0.7989875985786029 km
228,1.28761575,103.84140105235244,0.5254009219705438 km
229,1.2876285,103.8388777647646,0.7924834216725908 km
230,1.2877073,103.8307357,0.44824854332734126 km
231,1.2877094,103.81218665932803,0.5497432517332088 km
232,1.2877197,103.8273312,0.17264649004426072 km
233,1.28779935,103.81940593152174,0.359364319852346 km
234,1.2878832999999998,103.80775909450948,0.7606548337807757 km
235,1.2879795500000002,103.82194338895744,0.5962551128638679 km
236,1.28798455,103.81674901048444,0.18244892029075835 km
237,1.2880105,103.816317039474,0.18567167811446203 km
238,1.2880727,103.80903511353527,0.7883430263741421 km
239,1.2881168,103.82149418062976,0.5549747157610966 km
240,1.2882413,103.84642758653118,0.09377097893392261 km
241,1.28828,103.8276221,0.24079839438987696 km
242,1.2882937,103.82615711433978,0.2503048053007271 km
243,1.2883027,103.8271796,0.23397063578383367 km
244,1.28835755,103.77327064191394,1.2009811603926464 km
245,1.28841695,103.81736736038012,0.15161161057048017 km
246,1.2885685,103.8293024,0.36690922310247437 km
247,1.2887526,103.81680679306017,0.09779446167343152 km
248,1.2887652,103.8488122,0.33302676320070473 km
249,1.2887995,103.8296206,0.40999424448563876 km
250,1.2888769,103.84857397400788,0.31536779707729606 km
251,1.2889004,103.8083819706761,0.6754018419181637 km
252,1.2890272,103.81637873897068,0.0783267923697551 km
253,1.2890964,103.8220094,0.5893428813374708 km
254,1.2891149,103.8035490095092,0.6636720155886352 km
255,1.2891378,103.7774489,0.9299542411217574 km
256,1.2892428,103.81554423916955,0.1400529564309575 km
257,1.2893554,103.82933623199524,0.4356813320188177 km
258,1.28939675,103.82892079770646,0.41366628079206424 km
259,1.2894586,103.82869507914546,0.4073019014835835 km
260,1.2896071,103.84086619717208,0.49977203502100465 km
261,1.2896104,103.83007118745688,0.5094764297452201 km
262,1.28970785,103.8152854812608,0.16218646278436258 km
263,1.2897986499999998,103.8031189706403,0.6200879165281508 km
264,1.2898069,103.80281737405028,0.6377918073841824 km
265,1.2900801,103.82930573596938,0.5004997324830799 km
